Property Name,Tax Parcel,Property Type,Address,Gross Area (sq ft),Property Uses,Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Onsite Renewable (kWh),ENERGY STAR Score
Babcock Tower,2100470000,Multifamily Housing,270 Babcock Street,155384,Multifamily Housing,Not Available,,,,,,,,,
Back Bay Maitenence,401994000,Other,440 Park Dr,10822,Other,526224.2,0.189784313,0.793906856,,,,,,,
Back of the Hill Apartments L.P.,1001490000,Multifamily Housing,100 South Huntington Avenue ,119531,Multifamily Housing,6929391.5,0.259404943,0.718303707,,,,,,,90
Baker Chocolate Factory,6336157,Multifamily Housing,1200-1220 Adams St,177230,"Multifamily Housing, Parking",7356841.1,0.316501474,0.656300691,,,,,,,94
Baker Library,2200530000,Library,25 Harvard Way,157820,Library,12771868.6,0.292618833,,0.670706266,,,,,43157,
Baker Square,1704031010,Multifamily Housing,1241 Adams Street,229178,Multifamily Housing,9610221.3,0.473513638,0.485796076,,,,,,,89
BALDWIN,2102045000,K-12 School,121 Corey Road,27777,K-12 School,1409111.7,0.15360464,0.833195835,,,,,,,87
Bancroft,2102155000,Multifamily Housing,119-127 Sutherland,30600,Multifamily Housing,4260115.9,0.093185792,0.761490527,,,,,,,17
Bancroft,1101101001,Multifamily Housing,1-11 Bancroft St,26614,"Multifamily Housing, Parking",3051511,0.126255432,0.862895136,,,,,,,
Bancroft Realty LTD PTR: 1687 Commonwealth Avenue,2102648000,Multifamily Housing,1687 Commonwealth Avenue,27200,Multifamily Housing,2960288.1,0.092268163,,,,,,,,62
Bancroft Realty LTD PTR: 88 Washington Street,2101915000,Multifamily Housing,88 Washington Street,18000,Multifamily Housing,3287212.4,0.174441897,0.810567854,,,,,,,4
Barnes School Apartments LLc,105980000,Residence Hall/Dormitory,127 Marion Street,141016,"Parking, Residence Hall/Dormitory",5745087.9,0.337278723,0.633738032,,,,,,,91
BARRON,1806609000,K-12 School,515 Hyde Park Ave.,14700,K-12 School,1343418.8,0.380041263,0.587300848,,,,,,,16
Bartol Hall,402012000,College/University,84 Pilgrim Road,25400,College/University,2058177.5,0.491299097,0.466482313,,,,,,,
Basilica Leasehold Condominium Trust: Basilica Condominium,203510175,Multifamily Housing,106 13th Street,280000,Multifamily Housing,6972214.6,0.335778026,0.635367678,,,,,,,100
BATES,1805161000,K-12 School,426 Beech St.,27936,K-12 School,2074471.5,0.116113225,0.873908897,,,,,,,65
Batten Hall,2200500000,College/University,125 Western Avenue,77029,College/University,5031806,0.422767092,0.454538231,,,,,,127366,
Battery Wharf Master Condo Assoc,303041300,Multifamily Housing,2 Battery Wharf,88226,"Multifamily Housing, Personal Services (Health/Beauty, Dry Cleaning, etc.), Retail Store",28396418.2,0.497603038,0.459636614,,,,,,,1
Bay Cove Human Services,301612000,Office,157-159 Friend Street,54893,"Office, Urgent Care/Clinic/Other Outpatient",2828506,0.487168483,0.470967889,,,,,,,84
BB/OP/12SS: 31 Burbank Street,401440000,Multifamily Housing,31 Burbank Street,40461,Multifamily Housing,4133841.3,0.116536648,0.873449061,,,,,,,53
BC  129 Lake St Offices,2205268078,Office,129 Lake Street,90645,"Office, Restaurant",7092426.8,0.497924668,0.459287349,,,,,,,66
BC 2000 Comm Ave,2102464000,Multifamily Housing,2000 Commonwealth Ave,288433,Multifamily Housing,14368143,0.358903405,0.610255062,,,,,,,80
BC 2150 Comm Ave,2102443000,Multifamily Housing,2150 Commonwealth Ave,239667,Multifamily Housing,13807587.5,0.306901379,0.666725769,,,,,,,89
BC Cadigan Offices,2205268040,Office,2121 Commonwealth Avenue,68729,Office,3063407,0.393099774,0.573120059,,,,,,,92
